shopid;orderid;buyerid;itemid;gmv;order_time
2667;1030132;1024;3366770;27.0;19/04/2020
2624;1030137;4678;6130641;69.0;24/06/2020
2708;1030147;2693;6770063;87.0;16/12/2020
2397;1030153;3421;4193426;82.0;16/03/2020
2438;1030155;3668;8825994;29.0;02/04/2020
2991;1030160;4073;5660916;44.0;10/12/2020
2383;1030168;2370;8181828;25.0;24/06/2020
2354;1030170;2365;4100907;53.0;01/11/2020
2849;1030174;2967;5068015;31.0;06/03/2020
2979;1030177;1145;7899619;57.0;24/05/2020
2442;1030179;1394;5786966;65.0;05/03/2020
2338;1030183;3641;3487797;47.0;20/11/2020
2615;1030188;4245;8582728;83.0;11/09/2020
2660;1030191;2573;6658483;52.0;02/04/2020
2769;1030194;4357;6505600;84.0;18/06/2020
2408;1030201;2779;1590652;51.0;21/03/2020
2576;1030211;1356;1838797;3.0;17/05/2020
2618;1030218;1460;2027054;64.0;01/06/2020
2673;1030225;1312;7148298;56.0;05/04/2020
2983;1030227;3235;2023181;7.0;21/10/2020
2688;1030233;1368;4222392;45.0;16/11/2020
2938;1030242;4649;8576081;76.0;07/07/2020
2710;1030245;2999;3759781;79.0;19/12/2020
2303;1030255;1883;8366551;81.0;30/12/2020
2142;1030263;4852;9004966;49.0;02/05/2020
2472;1030264;2416;5098384;72.0;12/05/2020
2145;1030268;3431;8818783;5.0;04/05/2020
2738;1030278;2391;8570909;45.0;25/05/2020
2290;1030287;2338;4279652;28.0;15/09/2020
2587;1030289;1296;1622906;33.0;13/05/2020
2698;1030294;1643;1865691;72.0;11/09/2020
2617;1030300;4010;2261136;58.0;21/02/2020
2596;1030301;1895;6008318;83.0;08/04/2020
2560;1030306;4530;8092933;34.0;18/09/2020
2141;1030316;2558;9185970;67.0;16/02/2020
2685;1030323;2935;4620654;32.0;21/09/2020
2604;1030328;1819;4441460;26.0;12/07/2020
2519;1030336;4470;5278196;6.0;11/12/2020
2225;1030337;2664;4578434;53.0;17/02/2020
2128;1030346;4197;6589609;98.0;04/03/2020
2572;1030355;4861;5640014;38.0;19/01/2020
2772;1030356;3987;6420902;55.0;29/07/2020
2189;1030360;2663;4189611;72.0;24/10/2020
2646;1030362;4072;6820972;35.0;10/11/2020
2136;1030363;4452;4622967;64.0;14/12/2020
2001;1030372;4445;4338858;35.0;12/04/2020
2386;1030377;1527;3855474;83.0;12/10/2020
2780;1030382;4304;3788995;52.0;18/05/2020
2892;1030387;2896;5093649;36.0;30/12/2020
2110;1030397;3549;6396158;27.0;12/11/2020
2422;1030407;4716;2468169;41.0;08/02/2020
2777;1030414;3632;3555543;56.0;31/12/2020
2270;1030423;3520;1520376;25.0;14/06/2020
2383;1030429;4924;6199447;12.0;05/04/2020
2357;1030431;1214;8897647;51.0;20/06/2020
2394;1030434;3516;3201138;31.0;14/10/2020
2369;1030438;3655;3435057;61.0;03/07/2020
2941;1030442;1999;1488337;84.0;13/07/2020
2482;1030445;3731;7988798;70.0;12/08/2020
2782;1030447;3041;4429667;90.0;09/01/2020
