shopid;total_clicks;impressions;Item_views
2667;56;319;142
2624;3;279;120
2708;23;294;182
2397;71;218;130
2438;3;157;170
2991;17;180;165
2383;98;271;136
2354;66;196;121
2849;72;238;108
2979;28;179;133
2442;20;263;138
2338;29;213;155
2615;42;270;108
2660;98;196;140
2769;38;257;129
2408;39;205;178
2576;42;254;171
2618;59;167;188
2673;40;260;119
2983;11;276;102
2688;37;258;125
2938;6;192;136
2710;43;273;182
2303;61;288;140
2142;13;229;162
2472;17;177;187
2145;79;197;128
2738;8;166;189
2290;83;295;139
2587;74;174;100
2698;24;202;120
2617;93;196;162
2596;30;153;157
2560;76;157;186
2141;64;271;163
2685;37;249;111
2604;3;288;193
2519;7;261;105
2225;88;268;194
2128;29;225;173
2572;35;172;189
2772;26;284;138
2189;60;203;169
2646;54;267;117
2136;40;290;146
2001;67;214;197
2386;93;213;115
2780;57;152;137
2892;23;163;121
2110;17;265;168
2422;16;294;137
2777;73;278;166
2270;7;204;143
2383;25;206;124
2357;16;281;116
2394;57;278;147
2369;24;266;159
2941;53;192;113
2482;26;203;123
2782;55;173;105
2030;19;237;180
2164;3;217;122
2428;24;188;144
2552;82;217;168
2535;40;196;200
2371;69;219;177
2323;21;255;188
2650;47;227;184
2430;64;208;180
2332;8;175;127
2219;74;200;180
2946;80;264;117
2792;64;176;178
2776;15;296;187
2432;91;214;170
2574;10;210;159
2877;38;161;135
2093;29;297;189
2183;35;175;188
2289;52;243;116
2322;20;250;198
2840;52;219;172
2611;87;247;132
2493;52;252;121
2540;29;197;115
2673;73;253;133
2160;98;227;101
2718;75;268;154
2992;94;182;184
2445;66;291;151
2283;52;160;159
2985;27;227;199
2401;88;198;132
2510;8;267;158
2332;57;188;133
2289;37;226;169
2134;43;229;118
2881;27;238;112
2996;20;285;143
2365;24;218;112
2746;22;219;193
2406;31;243;153
2994;85;190;193
2451;59;156;197
2339;72;164;128
2073;82;286;132
2903;40;163;139
2756;45;272;141
2888;77;209;191
2522;78;267;135
2479;86;244;185
2946;52;150;173
2398;80;259;178
2319;66;266;148
2800;22;206;170
2985;20;175;124
2315;48;161;139
2714;15;285;143
2210;100;286;178
2195;81;219;137
2477;31;265;159
2437;20;277;189
2292;33;235;144
2931;15;283;155
2363;56;165;150
2332;83;268;125
2133;44;283;110
2359;8;205;199
2808;42;210;157
2232;47;240;177
2571;77;265;137
2004;9;195;183
2569;6;238;122
2677;48;216;111
2377;100;189;117
2725;65;275;148
2583;37;187;168
2887;33;213;192
2993;62;210;155
2425;15;288;166
2725;66;269;115
2585;15;181;122
2220;46;211;136
2711;59;269;161
2730;64;234;112
2000;25;243;135
2623;92;266;188
2388;68;278;132
2729;88;159;142
2788;82;212;109
2010;11;214;176
2248;67;297;101
2526;44;218;115
2486;14;264;196
2141;98;296;137
2515;10;226;169
2751;5;233;137
2290;100;282;191
2938;64;185;164
2539;69;271;146
2371;86;218;144
2973;39;222;149
2131;15;153;184
2407;79;169;145
2593;9;229;120
2190;21;196;126
2960;86;205;149
2080;6;219;160
2725;46;238;166
2338;54;213;150
2198;47;289;174
2487;93;260;190
2502;21;216;163
2487;56;195;196
2375;77;235;133
2902;7;236;156
2591;18;212;187
2765;89;160;100
2661;89;155;136
2760;98;253;191
2012;17;258;118
2960;63;161;177
2189;35;281;147
2576;80;203;160
2288;42;172;200
2276;8;217;150
2913;86;166;144
2134;82;168;198
2053;36;224;162
2217;4;240;100
2817;81;172;185
2638;95;298;116
2760;12;229;169
2725;24;178;171
2334;75;224;103
2294;83;195;153
2275;91;295;149
2187;26;212;113
2477;66;158;199
2847;31;221;149
2040;27;208;110
2338;89;171;172
2085;96;299;178
2975;70;266;113
2555;77;252;124
2557;93;157;121
2792;82;212;171
2643;100;193;185
2242;82;218;122
2089;57;199;121
2314;43;211;122
2884;49;247;145
2942;90;150;188
2589;92;189;162
2702;91;235;194
2252;18;218;100
2934;45;150;192
2636;79;152;163
2610;38;295;178
2687;73;271;189
2213;52;177;184
2146;70;198;153
2442;55;160;106
2250;35;213;154
2117;86;206;153
2374;44;191;107
2777;4;200;144
2984;49;250;179
2909;85;151;110
2128;47;154;193
2879;26;175;187
2184;91;185;177
2135;54;175;114
2018;100;219;199
2431;52;158;188
2071;68;224;166
2646;70;293;109
2872;63;188;146
2814;94;289;163
2645;98;253;120
2789;46;227;121
2758;69;182;107
2140;76;239;145
2730;44;156;197
2528;49;290;173
2394;74;264;179
2396;82;257;166
2762;92;151;177
2702;5;214;157
2794;40;223;118
2250;48;208;102
2897;17;194;156
2921;68;296;168
2853;100;262;149
2006;100;262;154
2578;37;258;102
2494;73;163;178
2881;4;260;199
2652;87;164;104
2208;54;175;163
2458;7;285;192
2643;51;283;192
2928;62;193;179
2561;2;288;125
2255;7;221;149
2712;3;155;170
2520;79;288;199
2891;98;244;191
2536;64;187;177
2944;84;188;179
2974;16;256;190
2771;46;185;163
2529;10;254;136
2598;25;273;113
2364;13;292;113
2802;67;215;155
2291;29;297;188
2106;81;152;108
2263;61;219;187
2924;49;184;158
2709;29;161;133
2878;73;245;105
2358;27;231;169
2669;48;260;115
2227;62;176;196
2271;24;252;171
2357;28;294;134
2900;6;290;111
2010;92;298;129
2480;97;281;120
2453;5;218;146
2655;14;227;119
2198;27;165;142
2310;31;300;187
2132;42;191;187
2199;1;299;116
2685;75;175;129
2897;53;172;148
2534;64;172;114
2132;15;249;199
2476;31;189;176
2931;17;243;130
2698;43;175;111
2615;49;164;139
2657;25;157;198
2065;84;179;112
2157;41;240;142
2747;91;226;163
2180;48;264;175
2422;52;289;135
2556;78;185;155
2928;8;191;182
2827;9;266;200
2578;53;223;129
2912;40;222;188
2966;60;248;155
2124;93;286;110
2752;5;237;167
2160;5;166;166
2243;89;164;153
2117;19;266;144
2960;77;280;109
2996;72;290;178
2964;23;163;190
2832;35;164;178
2508;100;240;167
2719;53;240;141
2112;30;284;152
2999;44;236;135
2390;4;226;187
2822;95;161;170
2328;69;225;181
2097;14;295;155
2860;92;208;149
2935;2;254;137
2917;50;200;169
2686;30;219;112
2420;58;205;176
2181;72;172;193
2315;7;221;171
2637;11;262;154
2321;19;203;117
2464;1;228;193
2211;55;193;127
2906;18;271;101
2812;7;176;117
2630;44;174;102
2832;4;287;127
2773;55;199;183
2714;81;271;184
2834;21;226;199
2813;37;166;162
2823;30;297;189
2218;73;223;169
2610;97;231;199
2866;27;256;143
2886;50;207;104
2869;5;282;175
2105;43;277;108
2415;57;158;132
2151;90;221;157
2303;59;256;178
2481;7;237;152
3000;87;300;188
2880;17;168;161
2134;83;240;140
2959;37;177;114
2572;61;284;103
2634;15;260;191
2820;29;230;133
2650;24;296;127
2506;79;191;195
2913;74;163;178
2523;50;264;174
2947;25;236;142
2160;6;159;124
2427;35;206;200
2361;63;218;130
2454;4;284;192
2089;83;211;136
2548;85;162;162
2724;33;165;167
2260;88;156;137
2599;64;196;186
2871;14;251;112
2198;52;176;105
2287;88;201;152
2889;50;156;142
2916;78;230;143
2965;24;189;119
2586;60;167;157
2072;17;218;124
2003;8;218;120
2600;85;234;118
2072;30;222;158
2071;8;168;196
2514;96;279;185
2788;100;240;194
2741;42;228;149
2734;6;254;121
2630;95;253;168
2668;30;290;164
2464;13;225;113
2822;86;246;147
2469;69;263;199
2284;35;258;119
2398;95;289;185
2890;24;254;117
2350;100;231;133
2066;1;296;164
2810;17;292;195
2559;63;222;182
2145;17;280;113
2083;95;201;139
2737;61;196;106
2058;6;163;198
2693;49;195;177
2437;57;221;138
2403;69;200;188
2990;36;264;184
2171;88;156;158
2597;14;231;161
2237;80;299;167
2229;45;161;122
2654;99;268;110
2214;1;156;188
2623;37;203;177
2858;30;282;104
2277;31;271;183
2594;54;277;178
2581;59;285;106
2956;82;167;117
2652;46;279;104
2277;13;205;187
2081;55;249;143
2634;42;278;198
2762;45;185;129
2619;45;219;134
2433;22;254;193
2716;54;237;192
2516;93;284;120
2685;42;196;170
2838;25;185;114
2201;20;256;157
2912;49;245;127
2867;92;241;115
2629;41;208;163
2899;58;233;117
2282;4;200;179
2034;9;175;186
2781;69;264;138
2353;3;245;173
2505;23;253;196
2046;93;169;194
2635;96;253;129
2933;88;224;131
2230;89;184;171
2482;46;157;177
2680;22;288;162
2840;25;155;185
2203;72;275;167
2744;26;270;158
2335;29;175;187
2293;15;249;148
2156;28;222;103
2217;6;294;141
2578;77;170;109
2907;2;171;178
2132;51;161;140
2239;43;153;173
2192;75;199;192
2475;40;241;157
2819;79;300;200
2858;38;183;152
2909;11;269;170
2503;23;232;173
2787;80;210;161
2593;32;272;157
2573;56;250;116
2959;30;283;122
2844;14;198;180
2821;39;231;152
2130;31;259;108
2042;29;248;145
2365;18;233;131
2788;99;233;187
2275;61;292;147
2261;36;152;127
2972;94;151;175
2841;12;185;104
2049;87;228;196
2534;19;268;154
2263;81;255;196
2453;57;153;183
2242;89;213;151
2302;91;260;105
2958;3;171;200
2930;88;218;101
2533;35;298;117
2864;65;152;157
2028;44;166;114
2673;63;193;115
2427;71;231;167
2737;73;212;197
2768;61;293;194
2468;46;233;163
2061;53;255;188
2918;81;245;116
2863;88;177;188
2289;57;196;192
2815;3;254;169
2692;3;180;166
2029;15;244;199
2846;3;273;129
2366;41;247;193
2856;41;281;134
2693;70;163;184
2896;77;159;152
2284;66;248;111
2131;18;211;131
2991;16;192;177
2573;93;250;134
2152;73;225;144
2724;97;192;139
2772;8;271;178
2181;92;157;197
2066;76;244;117
2992;71;237;155
2227;50;297;166
2968;64;258;170
2241;37;266;112
2919;22;154;187
2813;49;227;128
2960;94;233;127
2224;40;168;143
2454;89;209;145
2592;25;230;147
2610;8;232;153
2630;61;233;148
2166;33;203;108
2503;9;258;143
2736;3;208;139
2476;91;266;180
2549;96;264;112
2511;66;200;144
2302;19;154;133
2630;13;182;177
2224;21;193;163
2935;68;208;190
2073;69;228;116
2506;2;184;162
2915;71;174;136
2933;72;213;102
2837;93;221;159
2106;31;264;118
2009;22;163;143
2526;18;173;147
2352;34;189;107
2480;50;240;175
2360;2;263;145
2046;69;200;147
2390;1;216;196
2700;87;189;188
2382;24;278;104
2212;70;178;117
2832;91;296;124
2276;92;283;192
2380;20;297;173
2139;94;167;181
2525;14;216;187
2268;49;223;189
2772;16;246;138
2370;45;215;180
2226;88;278;139
2222;54;248;195
2009;100;265;111
2185;40;239;100
2644;21;243;170
2015;38;226;158
2378;36;219;179
2135;92;206;101
2400;46;247;100
2984;25;277;102
2899;55;260;199
2515;21;185;149
2192;78;172;189
2905;21;291;123
2253;54;256;190
2557;63;227;200
2011;30;274;145
2169;22;203;173
2659;99;275;109
2058;43;182;123
2066;45;287;185
2695;2;204;164
2815;91;294;169
2992;62;150;190
2483;32;197;146
2301;7;240;199
2787;8;295;164
2671;56;197;172
2039;91;281;185
2840;42;217;106
2481;9;166;107
2280;41;256;132
2429;73;170;149
2433;71;266;124
2428;52;199;151
2962;10;234;199
2393;40;208;188
2031;10;256;136
2266;45;193;185
2140;31;153;172
2302;37;227;197
2827;74;251;163
2756;37;289;118
2792;38;292;196
2985;10;269;121
2984;45;213;107
2769;92;248;172
2772;61;172;146
2411;80;180;137
2905;54;236;171
2899;86;289;100
2552;49;185;152
2571;36;242;153
2755;81;279;107
2142;50;269;144
2713;66;150;140
2179;23;233;124
2919;37;184;137
2530;41;275;174
2242;72;280;176
2875;37;212;193
2356;12;240;180
2169;81;196;154
2692;71;226;151
2377;94;254;112
2717;26;163;160
2968;8;232;113
2438;81;244;183
2888;82;192;166
2480;66;240;159
2411;66;187;159
2659;24;219;102
2007;70;181;166
2859;13;249;149
2322;23;253;110
2196;78;219;192
2074;61;245;163
2349;42;296;137
2435;65;229;164
2594;64;171;118
2696;94;260;147
2504;55;230;159
2657;53;168;185
2899;92;205;175
2364;22;250;173
2985;39;282;151
2287;17;299;137
2669;80;234;120
2699;31;248;170
2623;27;254;171
2765;70;201;126
2600;73;172;110
2230;30;234;150
