shopid;buyerid;register_date;country
2230;1024;10/12/2021;ID
2087;4678;19/09/2021;SZ
2830;2693;03/05/2019;SG
2812;3421;14/10/2020;MY
2532;3668;10/05/2020;MY
2890;4073;03/06/2019;PH
2008;2370;05/12/2021;SG
2195;2365;26/12/2021;SG
2335;2967;03/11/2020;SG
2085;1145;06/08/2020;ID
2710;1394;25/03/2019;ID
2886;3641;01/06/2018;MY
2503;4245;13/06/2021;PH
2921;2573;16/07/2019;SG
2819;4357;31/01/2018;PH
2479;2779;19/06/2018;SG
2918;1356;13/04/2018;ID
2313;1460;25/06/2018;ID
2843;1312;01/11/2021;ID
2311;3235;15/03/2019;MY
2619;1368;28/11/2020;ID
2175;4649;08/01/2021;SZ
2014;2999;25/11/2020;SG
2294;1883;13/06/2021;ID
2236;4852;17/09/2018;SZ
2181;2416;26/03/2021;SG
2692;3431;14/02/2020;MY
2030;2391;01/12/2020;SG
2427;2338;28/05/2018;SG
2209;1296;03/11/2019;ID
2164;1643;30/09/2019;ID
2812;4010;29/12/2021;PH
2661;1895;25/01/2020;ID
2214;4530;20/03/2019;SZ
2472;2558;25/05/2020;SG
2065;2935;08/06/2019;SG
2519;1819;09/04/2018;ID
2000;4470;28/02/2020;PH
2921;2664;20/10/2021;SG
2892;4197;07/03/2020;PH
2371;4861;01/09/2019;SZ
2360;3987;30/08/2020;MY
2074;2663;30/05/2018;SG
2239;4072;08/01/2021;PH
2640;4452;07/08/2021;PH
2875;4445;17/10/2018;PH
2121;1527;10/10/2020;ID
2352;4304;08/10/2021;PH
2333;2896;23/04/2020;SG
2902;3549;05/05/2021;MY
2873;4716;02/08/2020;SZ
2879;3632;25/07/2021;MY
2087;3520;24/12/2020;MY
2923;4924;08/05/2019;SZ
2475;1214;28/06/2020;ID
2432;3516;04/03/2021;MY
2689;3655;28/02/2018;MY
2968;1999;01/01/2018;ID
2382;3731;20/08/2018;MY
2177;3041;03/02/2018;MY
2476;1902;18/05/2021;ID
2303;3063;20/08/2018;MY
2336;4600;18/12/2018;SZ
2327;3069;23/08/2021;MY
2394;3780;28/12/2021;MY
